"inventory_key","product_key","supplier_key","location_key","date_received_key","last_order_date_key","expiration_date_key","stock_quantity","reorder_level","sales_volume","inventory_turnover_rate","reorder_quantity","unit_price","status"
52,777,889,758,20240304,20241210,20240908,76,81,65,68,85,4.00,Active
53,706,917,717,20241026,20241105,20240710,11,77,77,46,7,1.50,Backordered
54,730,473,32,20241020,20240307,20241225,20,93,23,2,37,2.00,Discontinued
55,156,501,921,20240726,20250206,20240609,40,8,86,12,98,4.00,Discontinued
56,122,519,286,20240330,20240718,20250120,39,19,58,90,18,13.99,Active
57,448,260,382,20240622,20241013,20240920,30,29,80,43,70,7.50,Backordered
58,715,811,587,20240410,20241024,20250209,36,77,30,84,49,9.00,Active
59,221,14,352,20240808,20241026,20240414,22,10,64,7,53,4.25,Active
60,194,239,305,20240910,20241120,20240611,57,82,44,57,59,8.00,Active
61,951,25,130,20240302,20240704,20240306,53,26,100,94,3,4.75,Active
62,793,789,372,20240630,20240918,20241220,60,36,26,29,28,4.50,Active
63,541,241,933,20241003,20241024,20241101,94,90,98,71,12,0.90,Active
64,685,155,361,20250221,20240306,20240621,40,53,70,20,7,4.00,Backordered
65,265,503,829,20240723,20240303,20240621,14,16,39,30,93,2.00,Active
66,281,639,759,20241129,20250207,20250104,29,83,81,53,91,2.00,Backordered
67,228,88,928,20250126,20241003,20240501,60,63,74,31,81,1.80,Active
68,805,461,733,20240418,20240406,20240526,49,59,93,45,73,5.00,Discontinued
69,260,632,543,20250121,20240810,20240314,76,21,31,47,3,7.50,Discontinued
70,40,30,660,20240612,20241001,20250104,53,20,83,77,75,2.30,Backordered
71,893,264,299,20241126,20240815,20240408,54,86,29,8,69,5.00,Discontinued
72,823,778,589,20240817,20241001,20240903,49,73,52,62,48,12.00,Active
73,767,164,464,20241003,20241210,20240826,82,3,48,31,82,2.40,Active
74,494,51,88,20240512,20240501,20240624,18,36,65,100,53,5.30,Active
75,800,561,483,20250212,20240707,20240803,86,20,83,82,67,1.75,Discontinued
76,731,618,930,20240706,20250101,20240831,90,75,55,64,6,5.00,Active
77,862,374,220,20240318,20240610,20240304,24,77,80,42,32,15.50,Discontinued
78,521,180,667,20240429,20240318,20240421,39,2,20,70,71,1.45,Backordered
79,940,147,538,20240403,20250124,20250212,20,51,80,41,33,3.50,Active
80,439,573,848,20240927,20241004,20240728,52,56,31,69,34,12.00,Backordered
81,837,363,74,20241006,20250114,20241206,37,96,35,23,82,5.00,Backordered
82,774,9,621,20240620,20240330,20240617,24,14,98,9,5,4.00,Active
83,755,926,208,20240516,20240511,20240606,55,96,23,47,40,5.00,Discontinued
84,410,989,665,20240523,20250123,20240619,28,94,31,1,80,2.80,Backordered
85,522,787,798,20240406,20240528,20250205,86,100,52,91,78,2.75,Backordered
86,834,516,836,20240615,20240902,20240820,37,38,93,32,24,4.00,Active
87,551,107,654,20240911,20240716,20240225,59,62,90,94,57,10.30,Backordered
88,386,372,935,20240723,20240429,20240308,62,23,34,68,25,15.50,Discontinued
89,826,492,969,20240629,20241126,20241213,10,86,24,52,23,10.00,Backordered
90,475,838,839,20241231,20240417,20250106,58,55,62,89,5,4.45,Active
91,402,529,338,20240711,20241118,20240506,30,91,97,88,34,2.50,Active
92,533,375,757,20240331,20250202,20240409,43,38,88,65,63,12.00,Backordered
93,342,731,419,20240528,20250114,20240819,64,66,25,52,28,8.00,Discontinued
94,628,783,230,20241020,20250111,20250216,90,1,52,19,40,0.90,Discontinued
95,807,420,168,20240511,20240524,20240820,96,12,97,92,8,8.00,Active
96,422,123,259,20241121,20250217,20241230,19,99,29,54,78,9.00,Discontinued
97,96,656,484,20240831,20240815,20240816,52,8,38,81,37,6.00,Active
98,681,562,980,20241001,20240703,20240731,50,46,88,70,38,6.20,Active
99,840,707,489,20240720,20250114,20241004,61,100,76,2,94,4.00,Backordered
100,174,35,44,20240325,20240320,20241228,78,68,47,95,86,15.00,Discontinued
101,664,716,362,20240426,20250224,20241125,24,55,39,15,51,5.00,Discontinued
102,661,749,301,20240808,20241218,20240705,78,75,63,100,3,7.00,Active
103,311,901,46,20240419,20241001,20241111,96,38,72,84,17,7.00,Active
104,352,484,324,20240709,20240325,20240930,87,62,22,38,2,5.50,Backordered
105,181,37,924,20240720,20240327,20240408,11,17,69,100,59,6.00,Backordered
106,207,595,500,20241221,20240510,20240504,37,33,27,73,80,18.00,Backordered
107,594,727,21,20241127,20250118,20250106,66,40,43,49,8,6.00,Active
108,337,862,474,20240726,20240713,20240723,14,52,64,17,80,6.80,Discontinued
109,390,452,864,20240603,20241104,20250101,21,52,49,37,80,4.00,Backordered
110,835,881,890,20241027,20240629,20241216,59,91,54,87,24,2.50,Active
111,361,644,750,20241126,20241213,20241201,20,91,35,50,12,4.50,Active
112,375,172,147,20240622,20240702,20241227,39,53,92,8,64,2.75,Active
113,611,297,942,20240729,20240411,20240925,44,84,51,67,63,2.50,Discontinued
114,209,340,87,20250123,20240703,20241123,34,47,97,47,99,8.00,Backordered
115,104,659,119,20240916,20240225,20240814,49,48,96,37,62,15.00,Active
116,613,552,71,20240424,20240602,20240814,88,4,23,39,79,6.00,Discontinued
117,233,221,410,20240509,20240229,20240524,26,63,84,70,88,1.20,Active
118,667,210,913,20240731,20241220,20241017,89,79,91,31,66,5.00,Discontinued
119,602,165,503,20240828,20241127,20250224,52,81,95,88,53,2.00,Backordered
120,729,841,932,20240618,20240627,20240428,76,57,52,86,78,9.00,Discontinued
121,397,666,405,20241206,20240306,20240811,39,57,77,32,54,2.50,Active
122,523,369,363,20240318,20240507,20240620,96,52,67,13,16,2.50,Active
123,444,358,954,20241005,20240413,20241223,24,69,20,20,2,2.00,Backordered
124,915,381,527,20240919,20240607,20240617,46,80,62,22,88,7.00,Discontinued
125,258,759,431,20250128,20241005,20241207,48,77,70,74,81,31.00,Backordered
126,710,681,727,20240611,20240723,20241028,39,22,60,2,73,2.00,Active
127,924,776,94,20241213,20250209,20240718,26,79,47,41,31,3.00,Discontinued
128,27,773,695,20240529,20240909,20241025,88,83,61,59,42,15.00,Discontinued
129,956,951,696,20241202,20241212,20241113,38,62,41,34,47,4.00,Discontinued
130,306,678,755,20240601,20241109,20241025,55,50,62,26,56,1.70,Backordered
131,600,525,50,20240728,20240515,20240703,13,88,24,21,7,9.50,Backordered
132,58,949,22,20240322,20240625,20240922,20,42,72,28,45,10.00,Discontinued
133,689,514,694,20250216,20240826,20241030,25,60,31,41,36,1.50,Backordered
134,932,327,407,20241224,20240818,20240404,92,68,40,57,79,18.00,Discontinued
135,109,53,217,20240703,20241011,20241005,37,30,62,25,74,4.00,Backordered
136,157,988,167,20241027,20240313,20240424,61,81,26,76,99,1.50,Discontinued
137,658,622,684,20241008,20241208,20240401,46,88,59,79,20,4.80,Backordered
138,930,810,915,20240730,20241031,20240720,37,47,38,89,34,9.50,Backordered
139,760,856,487,20240808,20240318,20241209,82,29,77,27,62,15.31,Backordered
140,509,446,940,20240827,20240503,20240417,80,69,41,43,71,1.75,Backordered
141,740,736,537,20240427,20241026,20240814,66,28,85,6,7,6.00,Backordered
142,725,462,653,20240503,20240328,20240306,19,36,31,81,72,1.75,Backordered
143,979,48,591,20241212,20240810,20240416,49,94,38,11,18,6.00,Active
144,2,77,825,20240609,20240406,20240410,23,99,68,76,97,2.00,Discontinued
145,56,750,936,20240827,20250212,20240508,65,10,71,61,81,2.00,Backordered
146,372,882,753,20240310,20240401,20240510,42,12,80,8,28,2.00,Discontinued
147,103,97,304,20241022,20240331,20241210,49,46,82,21,8,3.00,Discontinued
148,78,833,204,20250109,20240419,20240423,42,48,39,57,18,2.00,Active
149,341,442,870,20241215,20241130,20241210,89,42,94,81,76,5.00,Backordered
150,894,141,300,20241117,20240315,20241022,14,81,74,84,65,3.50,Active
151,622,8,339,20250104,20241015,20240917,94,18,44,49,84,4.50,Discontinued
152,832,534,163,20240323,20240414,20241023,51,72,23,17,85,3.00,Active
153,938,431,322,20250130,20241011,20241116,64,21,51,26,13,4.00,Backordered
154,966,747,115,20240924,20250115,20240511,73,87,47,67,46,4.00,Discontinued
155,919,190,27,20241029,20250123,20240320,77,19,27,25,31,9.50,Backordered
156,87,443,398,20240913,20250106,20241226,100,31,88,52,43,9.00,Backordered
157,510,175,270,20240623,20241129,20240409,88,42,92,29,68,20.00,Active
158,659,89,709,20241210,20240715,20240830,38,93,67,100,61,6.00,Active
159,526,219,688,20250114,20240618,20240529,69,17,79,75,27,2.30,Backordered
160,578,188,808,20240529,20241108,20240505,55,93,46,84,84,20.00,Active
161,620,401,518,20250126,20241223,20240729,56,59,65,45,87,7.00,Active
162,907,555,434,20240807,20240409,20241018,79,74,80,26,87,4.00,Backordered
163,237,268,785,20240513,20240527,20241218,81,76,68,100,10,4.00,Backordered
164,451,696,440,20240404,20241129,20250101,59,29,74,16,100,5.50,Discontinued
165,812,563,735,20240708,20241209,20241111,36,59,25,60,90,3.00,Discontinued
166,482,326,871,20241027,20250224,20241225,29,54,58,63,54,2.00,Backordered
167,854,700,308,20241016,20250212,20240919,89,40,93,48,64,4.00,Active
168,555,781,603,20240407,20250117,20240705,54,53,94,82,33,1.80,Backordered
169,734,704,45,20241008,20240615,20240817,80,60,98,13,71,2.00,Active
170,21,526,767,20250104,20240929,20250208,88,22,54,100,61,2.50,Discontinued
171,786,303,821,20240318,20240805,20250129,58,58,85,63,28,4.70,Active
172,663,126,970,20241002,20241014,20240406,58,5,53,80,1,2.00,Active
173,653,643,273,20250131,20240630,20240924,51,53,54,59,88,6.00,Discontinued
174,163,415,58,20240516,20241007,20240401,34,42,28,23,86,4.00,Discontinued
175,324,541,190,20240712,20240724,20250128,56,53,69,69,77,4.50,Active
176,804,537,359,20240227,20240402,20241005,94,13,20,24,15,7.00,Backordered
177,721,284,433,20240704,20240710,20241015,20,65,51,78,61,2.00,Active
178,981,965,947,20240529,20241103,20240406,29,39,23,85,80,4.00,Backordered
179,897,496,450,20240802,20241012,20240320,53,63,56,95,2,9.00,Active
180,332,536,51,20240607,20241207,20241204,25,74,41,59,100,5.50,Discontinued
181,961,166,37,20250121,20241113,20240428,80,24,98,38,60,2.50,Active
182,547,338,559,20240925,20241128,20240612,26,97,94,58,12,6.00,Discontinued
183,164,890,475,20241226,20241204,20241129,18,86,64,34,20,1.80,Discontinued
184,189,209,242,20240827,20240620,20241028,33,89,90,52,15,2.50,Discontinued
185,461,592,640,20241229,20241223,20240908,10,17,100,63,70,0.20,Backordered
186,218,245,141,20240624,20240920,20250212,99,59,52,57,12,5.00,Backordered
187,275,100,561,20240515,20240815,20240511,28,27,70,30,22,6.00,Discontinued
188,401,817,387,20240405,20240911,20240928,21,24,87,36,2,2.35,Backordered
189,699,840,768,20250217,20241230,20240315,75,18,32,92,65,2.00,Active
190,457,217,430,20241203,20241017,20240306,31,65,63,7,94,9.00,Backordered
191,631,308,711,20241130,20240817,20240711,70,92,95,26,74,1.00,Backordered
192,49,47,462,20240706,20241003,20240824,75,80,49,40,87,9.00,Backordered
193,652,655,68,20241126,20240805,20240626,18,7,88,96,58,3.50,Discontinued
194,134,86,312,20240609,20240622,20240417,93,62,78,87,65,9.00,Active
195,46,216,912,20250109,20250114,20240425,49,28,70,38,74,6.00,Discontinued
196,713,601,174,20240901,20240302,20240330,79,37,33,20,98,4.50,Discontinued
197,519,478,703,20240326,20240413,20240524,74,4,31,34,67,1.80,Backordered
198,878,235,723,20240823,20241113,20241103,88,50,78,28,88,8.00,Discontinued
199,238,983,61,20240604,20240616,20240328,57,36,56,32,53,4.00,Backordered
200,112,815,370,20241017,20240826,20240321,83,52,47,7,32,6.00,Active
201,354,680,449,20240719,20240721,20241113,22,24,47,71,94,6.00,Active
202,139,132,824,20240604,20240420,20241119,63,81,56,2,94,2.50,Active
203,926,724,498,20241006,20240503,20240530,97,32,82,98,43,2.30,Active
204,13,584,593,20250207,20240628,20241114,22,58,33,68,2,0.20,Active
205,971,3,579,20241114,20241130,20240322,27,64,70,58,43,3.00,Discontinued
206,901,735,898,20240301,20250106,20250131,46,64,96,55,17,4.60,Discontinued
207,638,961,429,20241001,20240726,20240915,38,43,34,54,28,2.70,Backordered
208,302,701,979,20240926,20240724,20240308,43,7,66,71,63,9.00,Active
209,172,710,129,20250108,20240827,20240609,61,91,34,76,40,9.00,Active
210,625,533,702,20240315,20240704,20240922,56,4,61,73,74,4.50,Active
211,296,964,329,20240724,20241105,20240513,54,69,77,56,68,1.75,Discontinued
212,515,354,457,20241128,20250127,20250220,20,42,61,25,21,3.85,Discontinued
213,81,223,642,20240629,20240517,20241029,72,20,87,68,71,2.50,Discontinued
214,650,307,441,20240418,20241025,20240528,70,96,27,58,92,1.50,Backordered
215,654,213,810,20250201,20240920,20240517,79,28,42,46,4,15.00,Active
216,421,907,548,20250217,20240716,20240304,40,81,39,65,78,20.00,Backordered
217,583,689,317,20250106,20240321,20240330,45,58,90,67,84,5.00,Active
218,39,777,495,20240824,20240930,20240416,80,54,81,37,21,8.50,Active
219,171,929,256,20240228,20240622,20250206,66,40,24,61,96,10.00,Active
220,50,859,360,20250209,20250215,20241214,84,28,54,32,29,4.40,Discontinued
221,14,850,699,20240718,20250116,20240624,13,60,44,32,100,1.80,Backordered
222,64,691,676,20250214,20250105,20241110,89,67,96,42,89,12.00,Discontinued
223,955,101,406,20240510,20240810,20240304,23,100,63,26,77,2.00,Discontinued
224,642,567,931,20240815,20240310,20241007,23,21,81,8,59,2.40,Active
225,637,878,267,20250114,20240423,20240309,84,8,60,38,54,9.00,Active
226,203,224,228,20241022,20241207,20250204,50,66,76,73,1,2.50,Active
227,630,944,96,20240408,20240829,20240326,62,78,62,97,97,10.00,Discontinued
228,287,191,590,20240710,20240624,20241010,38,72,59,8,39,5.50,Active
229,660,360,732,20240802,20240828,20240901,14,77,32,24,78,10.00,Discontinued
230,881,653,271,20240924,20240706,20241015,89,95,76,96,41,18.00,Discontinued
231,674,545,347,20250128,20241128,20241112,41,84,42,65,90,4.00,Active
232,591,261,766,20240923,20241121,20240409,67,68,67,82,50,1.50,Discontinued
233,380,809,399,20240708,20240715,20240623,68,68,37,31,97,6.00,Discontinued
234,241,285,33,20240405,20241012,20241121,35,88,39,62,87,4.70,Active
235,830,121,636,20240915,20250121,20241022,59,31,48,51,3,10.00,Active
236,137,150,689,20240311,20240410,20240426,91,55,42,93,94,3.00,Active
237,882,894,978,20250219,20240926,20250124,51,55,21,13,76,5.00,Discontinued
238,52,558,54,20240530,20241120,20250114,32,27,38,79,26,5.00,Backordered
239,126,255,887,20241018,20250216,20241124,18,3,58,61,39,5.00,Backordered
240,115,438,290,20240720,20240806,20240815,39,80,46,54,68,2.50,Discontinued
241,792,713,25,20240612,20240923,20240418,87,97,58,21,28,1.50,Active
242,152,835,837,20241105,20240819,20240623,77,45,25,37,75,30.00,Discontinued
243,447,359,539,20240915,20241024,20241227,71,4,81,25,37,3.00,Discontinued
244,670,394,23,20240410,20241010,20240913,18,46,57,95,26,20.00,Backordered
245,299,323,612,20240819,20240729,20240302,90,30,76,69,42,5.00,Backordered
246,701,140,502,20241024,20241116,20240511,29,18,53,69,86,2.50,Active
247,488,669,318,20250203,20240409,20250205,44,90,21,91,17,2.50,Discontinued
248,1,972,114,20240507,20250216,20241011,13,32,38,61,79,2.00,Discontinued
249,491,676,868,20240805,20250111,20240704,68,12,84,95,73,5.00,Backordered
250,841,448,948,20241219,20240414,20240708,67,71,76,34,4,9.00,Backordered
251,765,342,386,20240720,20250116,20240520,95,29,52,46,28,4.00,Discontinued
252,691,867,611,20240716,20240713,20240810,99,8,41,50,27,5.00,Discontinued
253,754,154,784,20241206,20240623,20240816,76,39,77,70,15,2.00,Backordered
254,293,246,925,20241108,20241031,20240403,23,43,91,86,75,2.50,Discontinued
255,338,946,404,20240412,20250119,20240704,35,78,95,91,68,2.50,Discontinued
256,895,709,656,20240611,20250120,20240606,16,53,21,29,12,5.00,Discontinued
257,225,148,747,20240414,20250110,20241010,11,56,40,5,62,3.90,Backordered
258,146,427,240,20241025,20240422,20241121,37,3,39,28,45,12.00,Discontinued
259,949,383,303,20241017,20241216,20241103,13,55,67,68,77,20.00,Backordered
260,464,863,556,20250214,20240304,20241218,74,37,91,18,57,1.50,Active
261,141,324,277,20250117,20240625,20250128,85,28,57,41,32,8.90,Backordered
262,214,463,212,20240910,20240519,20240701,49,49,78,61,26,8.00,Discontinued
263,333,904,420,20250103,20250123,20240331,21,87,64,69,67,3.10,Discontinued
264,846,772,460,20240714,20240826,20240705,45,56,35,82,64,7.50,Discontinued
265,369,146,841,20250111,20240302,20240512,50,93,78,79,37,2.45,Backordered
266,292,571,911,20240919,20250127,20240925,42,3,35,22,21,2.00,Active
267,45,78,109,20240830,20240608,20240605,11,87,29,6,64,4.50,Active
268,144,986,377,20240627,20241008,20240726,66,49,27,37,41,10.00,Discontinued
269,31,978,705,20240417,20240404,20250210,35,72,74,15,70,20.00,Backordered
270,316,971,809,20250104,20240321,20240306,46,31,59,65,89,20.00,Backordered
271,941,112,745,20240705,20241004,20240709,60,43,77,60,32,2.50,Active
272,860,237,219,20240329,20241112,20241018,53,19,82,56,94,5.00,Discontinued
273,716,547,832,20241110,20240328,20250103,72,78,85,30,1,4.00,Discontinued
274,929,891,961,20250223,20250129,20241002,75,61,79,69,19,2.00,Backordered
275,454,378,263,20250104,20241224,20250206,88,53,56,14,44,9.00,Discontinued
276,269,91,736,20241117,20240902,20240907,21,87,20,38,12,21.00,Discontinued
277,153,718,627,20250201,20240715,20240324,23,42,63,5,87,8.00,Backordered
278,539,251,698,20240304,20240615,20240624,40,3,45,69,5,4.00,Discontinued
279,167,621,628,20240821,20250203,20241110,97,26,33,58,15,2.50,Discontinued
280,512,339,9,20240826,20241007,20241204,31,98,91,29,72,1.80,Active
281,307,236,789,20241223,20241126,20240921,69,21,36,35,68,66.55,Discontinued
282,577,611,131,20240228,20240620,20250121,82,12,69,93,94,4.10,Active
283,204,638,804,20240901,20240317,20240731,77,79,62,75,65,4.00,Backordered
284,131,927,790,20240324,20241025,20240314,85,12,26,32,94,9.50,Discontinued
285,183,116,922,20241008,20240702,20240925,20,25,78,1,73,4.75,Discontinued
286,199,459,490,20241219,20240924,20241120,30,85,32,83,21,4.50,Discontinued
287,727,641,823,20240308,20250111,20240925,44,92,41,61,92,3.50,Active
288,229,416,657,20240530,20250218,20240718,63,48,21,90,22,4.00,Discontinued
289,518,829,682,20241004,20241208,20240723,17,19,58,27,74,4.75,Discontinued
290,479,234,629,20240324,20241005,20240414,17,14,36,64,17,3.50,Discontinued
291,775,908,634,20240324,20240708,20241026,80,91,81,74,36,1.50,Active
292,672,231,170,20240818,20250212,20240429,63,92,93,99,26,8.00,Active
293,259,574,280,20250102,20240606,20250209,11,87,86,91,43,9.00,Active
294,355,329,605,20240318,20250123,20240822,45,28,35,16,6,4.50,Discontinued
295,564,957,669,20240728,20241023,20240713,85,54,85,44,18,4.00,Discontinued
296,364,134,108,20241010,20240614,20241010,64,71,60,67,69,3.90,Active
297,162,610,149,20240408,20250110,20240402,84,20,86,64,58,2.50,Backordered
298,143,290,146,20240508,20241215,20240513,12,56,56,6,92,9.50,Active
299,886,485,294,20241028,20240710,20240324,52,22,56,44,37,2.50,Active
300,150,483,983,20240505,20240722,20250224,80,86,46,69,50,1.80,Discontinued
301,677,849,595,20240620,20240927,20240917,61,8,73,64,45,4.00,Discontinued
302,11,535,638,20240726,20250203,20240727,41,61,30,100,69,1.00,Discontinued
303,158,548,953,20240827,20240325,20240314,71,60,60,63,62,4.50,Discontinued
304,548,474,164,20240407,20241007,20240719,87,1,61,84,98,2.50,Discontinued
305,25,281,421,20241126,20240301,20240827,19,28,91,73,83,4.50,Discontinued
306,896,113,55,20240611,20250221,20240903,15,27,37,67,21,4.00,Backordered
307,632,872,469,20241226,20240521,20240415,63,60,33,31,54,2.50,Backordered
308,899,379,177,20250110,20240801,20240603,91,71,74,57,17,3.50,Active
309,113,658,909,20240616,20240524,20241228,33,60,20,7,67,6.00,Discontinued
310,15,868,323,20240727,20240731,20240304,80,61,63,75,23,5.50,Backordered
311,524,579,289,20240903,20241003,20240731,59,79,47,18,87,6.00,Active
312,285,570,111,20240603,20240711,20240331,83,17,33,20,39,10.00,Active
313,205,480,309,20240502,20241102,20250207,34,32,42,27,22,4.50,Active
314,472,408,770,20240706,20250131,20241226,98,83,39,79,5,20.00,Active
315,705,55,422,20240817,20240504,20240523,27,64,57,4,78,2.00,Active
316,732,748,606,20240226,20240903,20241027,70,96,34,3,85,2.50,Active
317,593,455,522,20240930,20240620,20240621,94,77,40,84,89,6.00,Discontinued
318,671,648,257,20250206,20250217,20240623,12,7,72,16,23,6.00,Discontinued
319,236,377,592,20240803,20240610,20240922,30,38,31,34,83,6.00,Backordered
320,74,821,26,20240513,20250221,20250115,23,38,84,78,25,1.00,Discontinued
321,980,249,987,20240622,20240904,20240704,75,23,100,54,34,2.50,Backordered
322,871,169,967,20241009,20240801,20240503,89,54,64,63,15,2.50,Active
323,606,593,893,20240228,20240717,20241129,56,97,82,100,29,2.50,Backordered
324,986,720,357,20241024,20240619,20240713,65,42,54,2,62,6.30,Active
325,436,67,639,20240721,20240630,20240922,50,3,69,73,88,4.50,Discontinued
326,576,758,123,20241106,20250219,20240724,50,42,87,59,20,1.75,Active
327,761,919,472,20240820,20240420,20241208,63,43,55,72,8,1.50,Active
328,976,737,675,20240402,20240610,20241017,65,79,100,9,49,4.00,Discontinued
329,303,874,39,20240624,20250213,20250102,58,81,85,78,66,25.00,Active
330,806,947,295,20240507,20241224,20240609,46,51,47,25,92,2.30,Discontinued
331,746,31,392,20240728,20240907,20240826,43,73,59,65,14,4.00,Active
332,362,933,943,20240229,20240604,20241121,31,32,38,23,69,2.00,Active
333,824,85,127,20240228,20240709,20241124,11,58,99,94,32,4.00,Active
334,108,167,671,20240428,20241121,20250202,52,31,77,16,18,1.00,Backordered
335,693,404,424,20240313,20240310,20240323,44,67,82,51,15,2.50,Active
336,724,954,128,20241214,20241129,20240802,44,75,96,38,72,1.00,Discontinued
337,77,958,311,20241031,20240813,20241108,40,2,71,10,58,1.80,Active
338,378,774,375,20240809,20241013,20240731,74,30,82,12,24,3.00,Active
339,817,990,106,20240402,20241126,20241030,90,68,81,26,74,12.00,Backordered
340,62,695,340,20240827,20241002,20240413,92,1,78,36,23,2.50,Discontinued
341,297,831,988,20240520,20241124,20240504,87,24,22,34,66,18.00,Active
342,843,163,349,20240605,20240903,20240616,40,83,92,50,50,4.00,Active
343,125,349,122,20240226,20240913,20241001,41,29,59,4,76,2.40,Discontinued
344,105,122,354,20240701,20240406,20241006,53,89,22,83,100,10.00,Backordered
345,424,855,986,20241101,20240529,20240508,45,77,85,1,2,20.00,Discontinued
346,657,619,83,20240823,20241013,20240928,18,52,42,32,22,3.50,Backordered
347,322,928,381,20240602,20241105,20240918,13,39,46,46,98,0.90,Backordered
348,839,925,116,20240929,20240626,20241117,72,72,39,78,68,1.50,Active
349,960,71,847,20241202,20250131,20240929,42,61,86,99,52,5.00,Backordered
350,458,465,335,20240528,20240918,20250223,90,75,80,57,43,1.50,Discontinued
351,76,186,520,20240720,20241208,20240714,70,84,71,20,72,8.00,Active
352,456,688,207,20241027,20240930,20240829,67,83,66,77,90,11.60,Active
353,428,133,854,20240829,20241202,20240904,71,7,52,68,6,7.50,Backordered
354,217,808,378,20240407,20240328,20250115,51,62,52,21,95,6.00,Active
355,501,380,330,20240910,20250218,20241029,31,55,71,46,5,2.00,Active
356,983,306,306,20240930,20250214,20240425,81,99,20,85,28,2.00,Discontinued
357,79,625,800,20250102,20241005,20240504,25,75,31,36,27,18.00,Active
