"warehouse_key","warehouse_location"
348,"7051 Calypso Place"
349,"36124 Carberry Junction"
350,"6 Lunder Parkway"
351,"7561 5th Terrace"
352,"07855 Goodland Lane"
353,"55782 Welch Hill"
354,"3622 Anhalt Lane"
355,"5743 Superior Place"
356,"564 Hazelcrest Crossing"
357,"33145 Butterfield Avenue"
358,"5756 Stephen Avenue"
359,"195 Portage Junction"
360,"227 Tennyson Plaza"
361,"082 Clove Plaza"
362,"108 Morning Center"
363,"12 Truax Court"
364,"502 Sachs Circle"
365,"53 Homewood Alley"
366,"9307 Kingsford Road"
367,"66879 Susan Place"
368,"61224 Northridge Avenue"
369,"64 1st Plaza"
370,"205 Straubel Court"
371,"49476 Tony Hill"
372,"081 Bellgrove Place"
373,"70001 Vahlen Lane"
374,"3831 Goodland Road"
375,"357 Maple Park"
376,"4 6th Plaza"
377,"290 Rusk Avenue"
378,"37973 Parkside Junction"
379,"4 Doe Crossing Avenue"
380,"832 Goodland Alley"
381,"36483 Burning Wood Pass"
382,"0743 4th Place"
383,"75 Cascade Avenue"
384,"46 Colorado Place"
385,"7 Duke Parkway"
386,"26 Barnett Junction"
387,"1 Lillian Plaza"
388,"052 Northland Trail"
389,"4 Nelson Alley"
390,"95 Kingsford Terrace"
391,"7945 Mayer Center"
392,"33 Clarendon Hill"
393,"80729 Homewood Plaza"
394,"0282 Emmet Hill"
395,"52 Victoria Plaza"
396,"8425 New Castle Parkway"
397,"43211 Anzinger Drive"
398,"1700 Briar Crest Parkway"
399,"2446 Anhalt Way"
400,"41 Stephen Crossing"
401,"6 Charing Cross Circle"
402,"895 Northland Hill"
403,"50687 Porter Park"
404,"27535 Morrow Avenue"
405,"12 Rigney Street"
406,"230 Tony Court"
407,"14 Talmadge Park"
408,"41 Comanche Park"
409,"3 Hooker Way"
410,"12710 Gulseth Circle"
411,"9 Karstens Center"
412,"4 Darwin Circle"
413,"00847 Reindahl Place"
414,"642 Arizona Point"
415,"3 Bunting Point"
416,"73 Graedel Street"
417,"5325 Milwaukee Lane"
418,"84 Hoffman Way"
419,"0 Sutteridge Trail"
420,"285 East Plaza"
421,"309 Burning Wood Center"
422,"322 Birchwood Center"
423,"867 Merrick Place"
424,"34 Linden Court"
425,"752 Mccormick Way"
426,"46 Hoffman Trail"
427,"38 Rutledge Plaza"
428,"6225 Westend Pass"
429,"21343 Brentwood Circle"
430,"1 Merchant Circle"
431,"13 Bluejay Way"
432,"4353 Dixon Circle"
433,"1991 Kropf Way"
434,"17 Reinke Circle"
435,"406 Westridge Alley"
436,"657 Texas Street"
437,"86 Porter Junction"
438,"60356 Derek Lane"
439,"38 Killdeer Point"
440,"183 Algoma Trail"
441,"21 Esker Way"
442,"894 Kingsford Road"
443,"9516 Burrows Circle"
444,"84148 Prairie Rose Center"
445,"42 Bunker Hill Junction"
446,"8583 Northwestern Terrace"
447,"78 Forest Dale Road"
448,"521 Burning Wood Trail"
449,"206 Pine View Junction"
450,"19 Shoshone Circle"
451,"7 Gateway Center"
452,"91 Kinsman Terrace"
453,"8868 Armistice Place"
454,"425 Shasta Terrace"
455,"884 Sloan Drive"
456,"8239 Laurel Way"
457,"21633 Sycamore Center"
458,"5104 Jana Court"
459,"389 Ridgeway Park"
460,"2869 Hudson Drive"
461,"9 Kipling Road"
462,"1 Monica Lane"
463,"86 Corben Crossing"
464,"09189 2nd Drive"
465,"022 Prairie Rose Drive"
466,"85276 Lakewood Gardens Alley"
467,"00616 Manitowish Parkway"
468,"7 Bonner Terrace"
469,"31057 Roth Place"
470,"89 Karstens Alley"
471,"611 Fieldstone Drive"
472,"33774 Carberry Circle"
473,"62 Thackeray Center"
474,"116 Spaight Park"
475,"1 Hollow Ridge Park"
476,"042 Di Loreto Court"
477,"64389 Arkansas Alley"
478,"5030 Moose Junction"
479,"709 Vidon Avenue"
480,"01330 Sheridan Way"
481,"52691 8th Drive"
482,"744 Green Center"
483,"09264 Forest Dale Drive"
484,"1008 Welch Street"
485,"652 High Crossing Lane"
486,"6 Hanover Terrace"
487,"154 Delladonna Hill"
488,"81533 John Wall Court"
489,"1034 2nd Point"
490,"2 Grayhawk Junction"
491,"6251 Eliot Hill"
492,"53 Lawn Circle"
493,"6 Stang Hill"
494,"9171 Redwing Street"
495,"226 Calypso Road"
496,"7369 Thackeray Drive"
497,"72090 Northfield Place"
498,"20 Butterfield Lane"
499,"7182 Summit Court"
500,"11263 Kipling Hill"
501,"04 Blaine Lane"
502,"265 Columbus Way"
503,"127 Eliot Road"
504,"5 Fisk Point"
505,"79 Cardinal Court"
506,"55309 6th Junction"
507,"63578 Butternut Hill"
508,"3 John Wall Point"
509,"461 Bluejay Circle"
510,"39 Lakewood Gardens Center"
511,"73966 Pond Trail"
512,"6 Anthes Court"
513,"561 Blue Bill Park Road"
514,"4 4th Place"
515,"676 Redwing Trail"
516,"674 Ryan Alley"
517,"901 Norway Maple Crossing"
518,"1792 Crownhardt Street"
519,"49148 Meadow Ridge Way"
520,"36 Longview Street"
521,"38 Dawn Street"
522,"32525 Marquette Park"
523,"68086 Crowley Circle"
524,"77 Monument Court"
525,"63787 Arkansas Street"
526,"42 Green Ridge Terrace"
527,"13799 Quincy Park"
528,"60 Main Pass"
529,"7 Rutledge Pass"
530,"9 Cardinal Alley"
531,"8 Oriole Terrace"
532,"8 Dakota Avenue"
533,"00 Luster Alley"
534,"42 Mandrake Alley"
535,"60 Dottie Hill"
536,"973 Spaight Place"
537,"156 Golf Course Alley"
538,"0 Delladonna Place"
539,"26240 Maple Wood Place"
540,"57453 Northwestern Alley"
541,"7096 Mcguire Park"
542,"7403 Fuller Hill"
543,"08545 Lillian Street"
544,"620 Mockingbird Pass"
545,"7 Spohn Avenue"
546,"5 Colorado Park"
547,"7444 Saint Paul Circle"
548,"21 Sunbrook Court"
549,"883 Marcy Place"
550,"43211 Lakeland Place"
551,"898 Rowland Trail"
552,"459 Gateway Pass"
553,"9171 Norway Maple Trail"
554,"8499 Hanover Terrace"
555,"92 Bartelt Terrace"
556,"28351 Cascade Plaza"
557,"591 Maple Junction"
558,"84 Washington Crossing"
559,"1 Havey Park"
560,"4508 Shopko Trail"
561,"1 Lake View Trail"
562,"40 Merchant Terrace"
563,"959 Dorton Pass"
564,"8119 Homewood Drive"
565,"7 Mockingbird Hill"
566,"75 High Crossing Junction"
567,"76 Fisk Park"
568,"6 Susan Alley"
569,"03416 Valley Edge Circle"
570,"538 Bayside Parkway"
571,"39014 Randy Court"
572,"668 Claremont Place"
573,"3 Hermina Circle"
574,"6 Messerschmidt Place"
575,"87578 Stoughton Parkway"
576,"504 Green Park"
577,"88 Hooker Parkway"
578,"9 Bartillon Trail"
579,"20 Nelson Way"
580,"7 West Street"
581,"43 Heath Street"
582,"4 Jay Terrace"
583,"48 Del Sol Trail"
584,"79 Monterey Avenue"
585,"579 Schlimgen Alley"
586,"662 Vernon Point"
587,"0782 Dapin Avenue"
588,"83 Pleasure Street"
589,"08 Randy Junction"
590,"23704 Algoma Park"
591,"15 Loomis Avenue"
592,"3296 Walton Court"
593,"20 Marcy Circle"
594,"402 Kings Road"
595,"30590 Bowman Alley"
596,"97 Walton Avenue"
597,"8 Dawn Court"
598,"75 Bunting Junction"
599,"44 Kensington Road"
600,"7 Prairieview Place"
601,"7 Harper Drive"
602,"3 Hagan Drive"
603,"18 Comanche Junction"
604,"6 Harbort Hill"
605,"2 Sachtjen Park"
606,"32468 Utah Pass"
607,"4 Warbler Center"
608,"5989 Longview Drive"
609,"72778 Loftsgordon Center"
610,"988 Southridge Way"
611,"26 Graceland Circle"
612,"2633 Shasta Alley"
613,"4 Judy Hill"
614,"52105 Mandrake Place"
615,"43 Lakewood Junction"
616,"01 Gateway Plaza"
617,"4929 Westend Point"
618,"897 Independence Circle"
619,"56 Petterle Circle"
620,"71 Bultman Drive"
621,"0 Lawn Parkway"
622,"64407 Marcy Plaza"
623,"772 Golf Course Junction"
624,"9463 Northland Court"
625,"757 Grasskamp Drive"
626,"012 Mockingbird Court"
627,"29992 Warrior Center"
628,"2 Barby Lane"
629,"2 Northridge Street"
630,"6990 Kings Place"
631,"509 Waywood Center"
632,"983 Sommers Circle"
633,"403 Loomis Way"
634,"2 Northview Avenue"
635,"38436 Anthes Way"
636,"25696 Westerfield Alley"
637,"7 Anzinger Lane"
638,"30880 Barnett Junction"
639,"33424 Express Avenue"
640,"1 Jackson Pass"
641,"54 Weeping Birch Lane"
642,"21844 Artisan Trail"
643,"848 Mariners Cove Junction"
644,"03 Roth Court"
645,"8524 Shelley Way"
646,"4 Loomis Way"
647,"5 Armistice Parkway"
648,"6382 Anniversary Pass"
649,"85408 Toban Crossing"
650,"6 Lillian Junction"
651,"851 Hollow Ridge Center"
652,"9067 Valley Edge Park"
653,"157 David Center"
654,"0 Ohio Hill"
655,"7 Hallows Alley"
656,"277 Pawling Terrace"
657,"2 Kingsford Center"
658,"81878 Nobel Point"
659,"44638 Corscot Lane"
660,"085 Reinke Pass"
661,"81503 Graedel Plaza"
662,"76 Shelley Pass"
663,"53 Forest Run Plaza"
664,"55095 Northview Drive"
665,"0 Miller Pass"
666,"01 Northfield Road"
667,"09 Londonderry Hill"
668,"7 Heffernan Drive"
669,"2 School Drive"
670,"7 Victoria Hill"
671,"34 Fremont Point"
672,"5 Ohio Lane"
673,"9433 Jenna Lane"
674,"84239 Meadow Vale Trail"
675,"338 Annamark Court"
676,"22 Hudson Pass"
677,"6435 Burning Wood Drive"
678,"66330 Northridge Street"
679,"01 Straubel Hill"
680,"38 Esch Pass"
681,"8182 Hazelcrest Place"
682,"2 Miller Lane"
683,"8 Spaight Circle"
684,"1519 Delaware Court"
685,"5 Homewood Street"
686,"6810 Aberg Junction"
687,"88 Lighthouse Bay Crossing"
688,"17640 Cottonwood Place"
689,"25784 Old Gate Crossing"
690,"76 Toban Plaza"
691,"428 Oriole Avenue"
692,"7834 Cordelia Alley"
693,"929 Thierer Lane"
694,"149 Valley Edge Point"
695,"13 Loomis Alley"
696,"13 Westport Hill"
697,"545 Farwell Lane"
698,"29 Vera Drive"
699,"22 Dexter Trail"
700,"3 Bellgrove Way"
701,"05 Bartelt Street"
702,"21625 Schlimgen Park"
703,"2005 Mccormick Road"
704,"43 Washington Street"
705,"29150 Farmco Crossing"
706,"7232 Ridgeway Center"
707,"44051 Old Shore Junction"
708,"3 Oakridge Parkway"
709,"175 Sycamore Circle"
710,"836 Brown Alley"
711,"1 Mockingbird Parkway"
712,"45190 Fordem Court"
713,"00 Drewry Court"
714,"622 Buena Vista Trail"
715,"05 Canary Circle"
716,"9 Meadow Vale Drive"
717,"06 Lake View Trail"
718,"60241 Portage Point"
719,"65 Merry Circle"
720,"555 Butternut Hill"
721,"4 Hagan Court"
722,"88721 Dawn Crossing"
723,"20073 Northfield Way"
724,"00 Ridgeway Plaza"
725,"9 Clemons Hill"
726,"952 Rowland Junction"
727,"13 Corscot Hill"
728,"3825 Raven Avenue"
729,"8 Mayer Trail"
730,"7944 Elgar Alley"
731,"84 Rusk Terrace"
732,"2374 Chive Court"
733,"08492 Gateway Terrace"
734,"82955 Dayton Street"
735,"183 Buell Park"
736,"298 Corry Plaza"
737,"7015 Ramsey Lane"
738,"8682 Golf Course Junction"
739,"9440 Coleman Drive"
740,"498 Delladonna Drive"
741,"62238 Mallory Place"
742,"78884 Union Street"
743,"812 Shelley Circle"
744,"3 Anthes Place"
745,"292 Utah Street"
746,"61932 Cascade Crossing"
747,"27 New Castle Avenue"
748,"01 Hansons Crossing"
749,"74997 Katie Terrace"
750,"11 Kedzie Avenue"
751,"588 Waywood Trail"
752,"3 Ronald Regan Center"
753,"160 Crowley Center"
754,"880 Calypso Road"
755,"14042 Dottie Avenue"
756,"52 Alpine Crossing"
757,"0 Stoughton Terrace"
758,"069 Basil Center"
759,"083 Mccormick Park"
760,"665 Sommers Circle"
761,"49263 Graceland Pass"
762,"6211 Hanson Terrace"
763,"8851 Superior Park"
764,"61707 Mariners Cove Park"
765,"0313 Rockefeller Street"
766,"24385 Prentice Plaza"
767,"18 Troy Avenue"
768,"1 Logan Road"
769,"3 Forster Point"
770,"321 Barby Parkway"
771,"4 Raven Drive"
772,"95261 Morningstar Way"
773,"63 Debra Park"
774,"5 Toban Circle"
775,"42 Clemons Terrace"
776,"6172 Hovde Circle"
777,"05433 Towne Terrace"
778,"3 Fairfield Center"
779,"463 Oxford Crossing"
780,"84642 Clarendon Point"
781,"87 Bluestem Parkway"
782,"3 Logan Trail"
783,"81071 West Alley"
784,"2718 Londonderry Plaza"
785,"1823 Elgar Park"
786,"67677 Lakewood Gardens Way"
787,"86 Maryland Junction"
788,"843 Pepper Wood Hill"
789,"2 Butterfield Pass"
790,"2 Columbus Drive"
791,"56830 Fremont Road"
792,"51890 Lindbergh Terrace"
793,"5551 Mallory Lane"
794,"96 Westridge Junction"
795,"05686 Golden Leaf Point"
796,"03 Fisk Alley"
797,"97 Thierer Terrace"
798,"0 Moose Lane"
799,"42719 Milwaukee Avenue"
800,"381 Rutledge Place"
801,"85 Farwell Parkway"
802,"46989 Crescent Oaks Junction"
803,"8 Hanover Center"
804,"2 Carioca Crossing"
805,"848 Old Gate Parkway"
806,"387 Jay Point"
807,"71796 Waubesa Terrace"
808,"17780 Lindbergh Junction"
809,"292 Charing Cross Terrace"
810,"21 Golden Leaf Hill"
811,"8 Surrey Pass"
812,"05518 Saint Paul Street"
813,"44296 Kropf Avenue"
814,"61057 Hallows Junction"
815,"80380 Valley Edge Road"
816,"5521 Wayridge Center"
817,"94 Mallory Center"
818,"0087 Bluejay Plaza"
819,"6 Bay Road"
820,"978 Shasta Lane"
821,"18 Warrior Circle"
822,"55 Cherokee Circle"
823,"2 Hooker Terrace"
824,"208 Miller Court"
825,"15 Oriole Park"
826,"56 Esker Park"
827,"42397 Knutson Place"
828,"77 Monterey Avenue"
829,"083 Gulseth Pass"
830,"443 Browning Terrace"
831,"5862 Hooker Pass"
832,"297 Petterle Way"
833,"39102 Division Trail"
834,"84305 Fair Oaks Plaza"
835,"890 Eggendart Pass"
836,"0 Oak Valley Lane"
837,"26175 Oxford Way"
838,"68241 Hanson Circle"
839,"0 Ruskin Way"
840,"856 School Plaza"
841,"288 Fair Oaks Place"
842,"57 Eastwood Junction"
843,"91 Gateway Pass"
844,"5426 Fordem Pass"
845,"6744 Helena Pass"
846,"43442 Homewood Street"
847,"36687 Maple Avenue"
848,"0 Fordem Place"
849,"04 Hagan Crossing"
850,"9050 Dorton Pass"
851,"41 Nelson Center"
852,"6 Haas Circle"
853,"492 Shoshone Road"
854,"376 Reinke Court"
855,"6195 Monterey Center"
856,"4 Browning Terrace"
857,"911 Merry Junction"
858,"9 Burrows Junction"
859,"7 Sloan Park"
860,"77 Prairie Rose Park"
861,"9 Eastlawn Crossing"
862,"49869 Bunker Hill Terrace"
863,"46 Orin Drive"
864,"1170 Shasta Circle"
865,"3 Dottie Junction"
866,"4247 David Crossing"
867,"39 Dovetail Terrace"
868,"2696 Katie Road"
869,"7943 Amoth Parkway"
870,"163 Esch Pass"
871,"185 Saint Paul Road"
872,"39 Dahle Alley"
873,"4 Old Shore Avenue"
874,"879 Amoth Terrace"
875,"95 Packers Lane"
876,"38695 Kenwood Circle"
877,"611 Waubesa Circle"
878,"7819 Fallview Park"
879,"0023 Upham Road"
880,"6 Anniversary Circle"
881,"9738 Old Shore Trail"
882,"3 Raven Court"
883,"80930 Briar Crest Point"
884,"6151 Forster Drive"
885,"49225 Homewood Place"
886,"4 Orin Lane"
887,"25 Drewry Alley"
888,"5 Prentice Pass"
889,"59449 Sherman Parkway"
890,"11 Golden Leaf Alley"
891,"537 Maple Alley"
892,"65 Forster Way"
893,"32 Rigney Terrace"
894,"7407 Farragut Pass"
895,"70862 Lighthouse Bay Junction"
896,"68 Dakota Center"
897,"5 Lyons Street"
898,"20 Pennsylvania Parkway"
899,"99 Duke Lane"
900,"44801 Myrtle Center"
901,"94451 Arkansas Park"
902,"6 Bobwhite Alley"
903,"4 Duke Way"
904,"96 American Center"
905,"55 Morning Terrace"
906,"734 Thackeray Avenue"
907,"5414 Linden Point"
908,"5 Eggendart Parkway"
909,"315 Acker Alley"
910,"6 Nobel Junction"
911,"289 Longview Point"
912,"2003 Delladonna Pass"
913,"1275 Lawn Center"
914,"42 Mallory Court"
915,"153 Caliangt Plaza"
916,"8 Fremont Circle"
917,"884 Fieldstone Plaza"
918,"39 Oxford Drive"
919,"87 Corben Street"
920,"53894 Myrtle Place"
921,"071 Nobel Circle"
922,"2 Fair Oaks Pass"
923,"591 Maple Wood Drive"
924,"111 David Hill"
925,"27408 Burning Wood Street"
926,"760 Butternut Plaza"
927,"51 7th Court"
928,"0847 Artisan Hill"
929,"5141 Anniversary Crossing"
930,"093 Anhalt Crossing"
931,"231 Merry Pass"
932,"12 Luster Terrace"
933,"081 Jana Lane"
934,"61 Waubesa Court"
935,"0 Oneill Hill"
936,"15 Veith Circle"
937,"58 Corscot Terrace"
938,"5 Killdeer Trail"
939,"98 Melody Street"
940,"15658 Talisman Lane"
941,"95 Garrison Plaza"
942,"120 Gale Circle"
943,"34642 Carpenter Place"
944,"55276 Golf Hill"
945,"99 Twin Pines Alley"
946,"917 Westerfield Terrace"
947,"19 Aberg Trail"
948,"269 Dakota Trail"
949,"0258 Shoshone Center"
950,"5 Forest Run Way"
951,"72 Crownhardt Circle"
952,"57 Di Loreto Circle"
953,"308 Doe Crossing Pass"
954,"1309 Elka Junction"
955,"3 Melrose Trail"
956,"3 Ilene Terrace"
957,"96 American Ash Center"
958,"041 Paget Alley"
959,"77563 Russell Lane"
960,"7193 Crownhardt Drive"
961,"29815 Bonner Trail"
962,"46758 Hallows Center"
963,"48 Golf View Pass"
964,"9848 Little Fleur Point"
